combined_id,source,product_id,position,sponsored,brand_final,title,rating,reviews,price,extracted_price,old_price,extracted_old_price,delivery,free_shipping,in_stock,seller,climate_pledge_friendly,search_query,page_fetched
Amazon_B0DZZWMB2L,Amazon,B0DZZWMB2L,1,False,ASUS,"ASUS ROG Strix G16 (2025) Gaming Laptop, 16” FHD+ 16:10 165Hz/3ms Display, NVIDIA® GeForce RTX™ 5060 Laptop GPU, Intel® Core™ i7 Processor 14650HX, 16GB DDR5, 1TB Gen 4 SSD, Wi-Fi 7, Windows 11 Home",4.3,387,"$1,350.00",1350.0,"$1,499.99",1499.99,"['$20.64 delivery Fri, Dec 19', 'Or fastest delivery Tue, Dec 16']",,,,False,gaming laptop,1
Amazon_B0FPR91V6L,Amazon,B0FPR91V6L,2,False,NIMO,"NIMO 15.6"" FHD Light-Gaming-Laptop, 8 Cores AMD Ryzen 7 Pro 6850U 32GB LPDDR5 RAM 1TB SSD (Beat i7-1360P Up to 4.7GHz) GPU AMD Radeon 680M IPS Computer with 100W Type-C Backlit Keyboard Fingerprint",4.4,189,$569.96,569.96,$999.99,999.99,"['FREE delivery Fri, Dec 19', 'Or fastest delivery Tue, Dec 16']",,,,True,gaming laptop,1
Amazon_B0G2SFQM53,Amazon,B0G2SFQM53,3,False,MSI,"msi Vector 16 HX AI Gaming Laptop | 16"" QHD+ IPS 240Hz | AMD 16-Core Ryzen 9 Up to 5.3 GHz | 64GB DDR5 2TB SSD | GeForce RTX 5070 Ti (Up to 992 AI Tops) | RGB Backlit Win11 Pro w/DLCA Accessory",N/A,N/A,"$2,349.00",2349.0,N/A,0.0,"['FREE delivery Tue, Dec 16']",,,,False,gaming laptop,1
Amazon_B0DW1X5YCQ,Amazon,B0DW1X5YCQ,4,False,ASUS,"ASUS ROG Strix G16 (2025) Gaming Laptop, 16” ROG Nebula Display 16:10 2.5K 240Hz/3ms, NVIDIA® GeForce RTX™ 5070 Ti GPU, Intel® Core™ Ultra 9 275HX Processor, 32GB DDR5, 1TB SSD, Wi-Fi 7, Win11 Home",4.3,387,"$2,384.48",2384.48,N/A,0.0,"['FREE delivery Thu, Dec 18', 'Or fastest delivery Mon, Dec 15']",,,,False,gaming laptop,1
Amazon_B0FWRKTF8B,Amazon,B0FWRKTF8B,5,False,NIMO,"NIMO 15.6"" IPS FHD-Gaming-Laptop,AMD Ryzen 5 6600H 16GB DDR5 RAM 512GB SSD (Beat R5-7520U, 6 Cores Up to 4.5GHz) AMD Radeon 660M GPU-Computer with 100W Type-C Backlit Keyboard Fingerprint",4.3,66,$499.99,499.99,"$1,199.99",1199.99,"['FREE delivery Fri, Dec 19', 'Or fastest delivery Tue, Dec 16']",,,,False,gaming laptop,1
Amazon_B0FXGBJKT8,Amazon,B0FXGBJKT8,6,False,NIMO,"NIMO 15.6"" IPS FHD-Laptop-Computer, Intel Pentium Quad Core N100 8GB RAM 128GB SSD (Beat i3-1115G4, Up to 3.4GHz) Backlit Keyboard Fingerprint Type-C WiFi 6 BT5.2, for Student and Home",4.5,750,$229.99,229.99,$649.99,649.99,"['FREE delivery Fri, Dec 19', 'Or fastest delivery Tue, Dec 16']",,,,False,gaming laptop,1
Amazon_B0G42XVZXH,Amazon,B0G42XVZXH,7,False,HP,"HP Omen 16.0"" 240Hz WQXGA 2560x1600 IPS Laptop 10-Core AMD Ryzen AI 9 365 64GB DDR5 4TB SSD NVIDIA RTX 5070 8GB GDDR7 Wi-Fi 6E Four-Zone RGB Backlit KB 1080p + IR Camera Win11 Home w/ONT 32GB USB",N/A,N/A,"$2,349.00",2349.0,N/A,0.0,"['FREE delivery Dec 18 - 22', 'Or fastest delivery Tue, Dec 16']",,,,False,gaming laptop,1
Amazon_B0G39DZWXL,Amazon,B0G39DZWXL,8,False,Lenovo,"Lenovo 15"" Gaming Laptop Computer, AMD Ryzen 5 7535HS 6-Core, 24GB DDR5 RAM, 1TB PCIe SSD, FHD+ Display, WiFi 6, Bluetooth 5.3, Webcam, HDMI, Type-C, Luna Grey, Windows 11 Home",4.5,708,$699.99,699.99,"$1,999.00",1999.0,"['FREE delivery Dec 17, 2025 - Jan 27, 2026']",,,,False,gaming laptop,1
Amazon_B0DZ5LJXL3,Amazon,B0DZ5LJXL3,9,False,NIMO,"NIMO 15.6'' IPS FHD-Laptop, AMD Ryzen 5, 16GB RAM 512GB SSD (Beat i5-1135G7, 4 Cores Up to 3.7GHz) Student Computer with 2 Years Warranty, 65W Type-C, Fingerprint, Backlit Keyboa d, BT5.2, Numpad",4.4,150,$369.99,369.99,$549.99,549.99,"['FREE delivery Fri, Dec 19', 'Or fastest delivery Tue, Dec 16']",,,,False,gaming laptop,1
Amazon_B0F5KTGDS9,Amazon,B0F5KTGDS9,11,False,Acer,"Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-586Z",4.3,86,$696.00,696.0,$749.99,749.99,"['FREE delivery Dec 17 - 19', 'Or fastest delivery Tue, Dec 16']",,,,False,gaming laptop,1
