"product_id","title","brand","source","rating","reviews","price","extracted_price","old_price","extracted_old_price","climate_pledge_friendly","rating_numeric","reviews_numeric","ram_gb","display_inches","processor_type","graphics","os","is_refurbished","is_gaming","is_2in1","storage_gb","price_category","rating_category","price_per_ram","price_per_storage","value_score","popularity_tier","product_tier","brand_category","is_sponsored","popularity","product_type","brand_tier"
"B0DZZWMB2L","asus rog strix g16 (2025) gaming laptop, 16” fhd+ 16:10 165hz/3ms display, nvidia® geforce rtx™ 5060 laptop gpu, intel® core™ i7 processor 14650hx, 16gb ddr5, 1tb gen 4 ssd, wi-fi 7, windows 11 home","ASUS","Amazon","4.3","387","$1,350.00",1350,"$1,499.99",1499.99,"False",4.3,387,16,16,"Intel Other","NVIDIA RTX Other","Windows 11",FALSE,TRUE,FALSE,1024,"Premium ($1k-$1.5k)","Good (4.0-4.5)",84.375,1.318359375,313.953488372093,"Medium (100-999)","Gaming","Premium Brand",FALSE,"Popular","Gaming Laptop","Premium"
"B0FPR91V6L","nimo 15.6"" fhd light-gaming-laptop, 8 cores amd ryzen 7 pro 6850u 32gb lpddr5 ram 1tb ssd (beat i7-1360p up to 4.7ghz) gpu amd radeon 680m ips computer with 100w type-c backlit keyboard fingerprint","NIMO","Amazon","4.4","189","$569.96",569.96,"$999.99",999.99,"True",4.4,189,32,15.6,"AMD Ryzen 7","AMD Radeon","Unknown",FALSE,TRUE,TRUE,1024,"Mid-Range ($500-$1k)","Good (4.0-4.5)",17.81125,0.5566015625,129.536363636364,"Medium (100-999)","Gaming","Budget Chinese",FALSE,"Popular","Gaming Laptop","Budget"
"B0G2SFQM53","msi vector 16 hx ai gaming laptop | 16"" qhd+ ips 240hz | amd 16-core ryzen 9 up to 5.3 ghz | 64gb ddr5 2tb ssd | geforce rtx 5070 ti (up to 992 ai tops) | rgb backlit win11 pro w/dlca accessory","MSI","Amazon","N/A","N/A","$2,349.00",2349,"N/A",0,"False",NA,NA,64,16,"Intel Other","Unknown","Unknown",FALSE,TRUE,FALSE,2048,"High-End ($1.5k-$3k)",NA,36.703125,1.14697265625,NA,"No Reviews","Gaming","Mid-Tier Brand",FALSE,"No Reviews","Gaming Laptop","Mid"
"B0DW1X5YCQ","asus rog strix g16 (2025) gaming laptop, 16” rog nebula display 16:10 2.5k 240hz/3ms, nvidia® geforce rtx™ 5070 ti gpu, intel® core™ ultra 9 275hx processor, 32gb ddr5, 1tb ssd, wi-fi 7, win11 home","ASUS","Amazon","4.3","387","$2,384.48",2384.48,"N/A",0,"False",4.3,387,32,16,"Intel Other","NVIDIA RTX Other","Unknown",FALSE,TRUE,FALSE,1024,"High-End ($1.5k-$3k)","Good (4.0-4.5)",74.515,2.32859375,554.53023255814,"Medium (100-999)","Gaming","Premium Brand",FALSE,"Popular","Gaming Laptop","Premium"
"B0FWRKTF8B","nimo 15.6"" ips fhd-gaming-laptop,amd ryzen 5 6600h 16gb ddr5 ram 512gb ssd (beat r5-7520u, 6 cores up to 4.5ghz) amd radeon 660m gpu-computer with 100w type-c backlit keyboard fingerprint","NIMO","Amazon","4.3","66","$499.99",499.99,"$1,199.99",1199.99,"False",4.3,66,16,15.6,"AMD Ryzen 5","AMD Radeon","Unknown",FALSE,TRUE,FALSE,512,"Budget (<$500)","Good (4.0-4.5)",31.249375,0.97654296875,116.276744186047,"Low (10-99)","Gaming","Budget Chinese",FALSE,"Some Reviews","Gaming Laptop","Budget"
"B0FXGBJKT8","nimo 15.6"" ips fhd-laptop-computer, intel pentium quad core n100 8gb ram 128gb ssd (beat i3-1115g4, up to 3.4ghz) backlit keyboard fingerprint type-c wifi 6 bt5.2, for student and home","NIMO","Amazon","4.5","750","$229.99",229.99,"$649.99",649.99,"False",4.5,750,8,15.6,"Intel Other","Unknown","Unknown",FALSE,FALSE,FALSE,128,"Budget (<$500)","Good (4.0-4.5)",28.74875,1.796796875,51.1088888888889,"Medium (100-999)","Standard","Budget Chinese",FALSE,"Popular","Budget Laptop","Budget"
"B0G42XVZXH","hp omen 16.0"" 240hz wqxga 2560x1600 ips laptop 10-core amd ryzen ai 9 365 64gb ddr5 4tb ssd nvidia rtx 5070 8gb gddr7 wi-fi 6e four-zone rgb backlit kb 1080p + ir camera win11 home w/ont 32gb usb","HP","Amazon","N/A","N/A","$2,349.00",2349,"N/A",0,"False",NA,NA,64,16,"Intel Other","NVIDIA RTX Other","Unknown",FALSE,TRUE,FALSE,4096,"High-End ($1.5k-$3k)",NA,36.703125,0.573486328125,NA,"No Reviews","Gaming","Premium Brand",FALSE,"No Reviews","Gaming Laptop","Premium"
"B0G39DZWXL","lenovo 15"" gaming laptop computer, amd ryzen 5 7535hs 6-core, 24gb ddr5 ram, 1tb pcie ssd, fhd+ display, wifi 6, bluetooth 5.3, webcam, hdmi, type-c, luna grey, windows 11 home","Lenovo","Amazon","4.5","708","$699.99",699.99,"$1,999.00",1999,"False",4.5,708,24,15,"AMD Ryzen 5","Unknown","Windows 11",FALSE,TRUE,FALSE,1024,"Mid-Range ($500-$1k)","Good (4.0-4.5)",29.16625,0.683583984375,155.553333333333,"Medium (100-999)","Gaming","Premium Brand",FALSE,"Popular","Gaming Laptop","Premium"
"B0DZ5LJXL3","nimo 15.6'' ips fhd-laptop, amd ryzen 5, 16gb ram 512gb ssd (beat i5-1135g7, 4 cores up to 3.7ghz) student computer with 2 years warranty, 65w type-c, fingerprint, backlit keyboa d, bt5.2, numpad","NIMO","Amazon","4.4","150","$369.99",369.99,"$549.99",549.99,"False",4.4,150,16,NA,"AMD Ryzen 5","Unknown","Unknown",FALSE,FALSE,FALSE,512,"Budget (<$500)","Good (4.0-4.5)",23.124375,0.72263671875,84.0886363636364,"Medium (100-999)","Standard","Budget Chinese",FALSE,"Popular","Budget Laptop","Budget"
"B0F5KTGDS9","acer nitro v gaming laptop | intel core i5-13420h processor | nvidia geforce rtx 4050 laptop gpu | 15.6"" fhd ips 165hz display | 8gb ddr5 | 512gb gen 4 ssd | wi-fi 6 | backlit kb | anv15-52-586z","Acer","Amazon","4.3","86","$696.00",696,"$749.99",749.99,"False",4.3,86,8,15.6,"Intel Core i5","NVIDIA RTX Other","Unknown",FALSE,TRUE,FALSE,512,"Mid-Range ($500-$1k)","Good (4.0-4.5)",87,1.359375,161.860465116279,"Low (10-99)","Gaming","Mid-Tier Brand",FALSE,"Some Reviews","Gaming Laptop","Mid"
"B0F7XQ214S","asus rog strix g18 (2025) gaming laptop, 18"" 2.5k 240hz 16:10 display laptop, nvidia geforce rtx 5080, intel core ultra 9 275hx, 64gb ddr5 ram, 8tb m.2 pcie ssd, wifi 7, win11 pro - eclipse gray","ASUS","Amazon","N/A","N/A","$4,999.99",4999.99,"N/A",0,"True",NA,NA,64,18,"Intel Other","NVIDIA RTX Other","Unknown",FALSE,TRUE,FALSE,8192,"Professional (>$3k)",NA,78.12484375,0.610350341796875,NA,"No Reviews","Gaming","Premium Brand",FALSE,"No Reviews","Gaming Laptop","Premium"
"B0FYPL263N","2025 amd gaming laptop, 16-inch laptop computer with amd ryzen 7 7735hs series(8c/16t, up to 4.75ghz), 16gb ram ddr5 4800mhz 512gb nvme ssd laptop, amd radeon 680m, backlit kb, hdmi. wifi-6","Generic Gaming","Amazon","3.9","3","$499.99",499.99,"$1,699.99",1699.99,"False",3.9,3,16,16,"AMD Ryzen 7","AMD Radeon","Unknown",FALSE,TRUE,FALSE,512,"Budget (<$500)","Average (3.5-4.0)",31.249375,0.97654296875,128.202564102564,"Very Low (<10)","Gaming","Other Brand",FALSE,"Few Reviews","Gaming Laptop","Other Brand"
"B0CSY75ZCN","msi thin 15 b13ve-1697ca 15.6"" 144hz gaming laptop intel® core™ i5-13420h rtx 4050 16gb 512gb nvme ssd win11","MSI","Amazon","4.3","97","$645.00",645,"N/A",0,"False",4.3,97,16,15.6,"Intel Other","Unknown","Unknown",FALSE,TRUE,FALSE,512,"Mid-Range ($500-$1k)","Good (4.0-4.5)",40.3125,1.259765625,150,"Low (10-99)","Gaming","Mid-Tier Brand",FALSE,"Some Reviews","Gaming Laptop","Mid"
